DATE,REAINTRATREARAT10Y
1982/1/1,7.62374231
1982/2/1,7.65664807
1982/3/1,7.12899337
1982/4/1,7.40834717
1982/5/1,7.32004091
1982/6/1,7.34537864
1982/7/1,7.55898662
1982/8/1,6.87979814
1982/9/1,6.50722489
1982/10/1,6.27916218
1982/11/1,5.62621423
1982/12/1,5.88173142
1983/1/1,5.5433895
1983/2/1,5.86170487
1983/3/1,5.57383847
1983/4/1,5.70012244
1983/5/1,5.40239353
1983/6/1,5.80955824
1983/7/1,5.8185791
1983/8/1,6.26942178
1983/9/1,6.35502485
1983/10/1,6.03269333
1983/11/1,6.14393792
1983/12/1,6.14842454
1984/1/1,6.21530449
1984/2/1,6.1010181
1984/3/1,6.46257937
1984/4/1,6.62874874
1984/5/1,6.85146491
1984/6/1,7.34576833
1984/7/1,7.44614428
1984/8/1,6.87114867
1984/9/1,6.97565415
1984/10/1,6.60885326
1984/11/1,6.06648144
1984/12/1,6.07562511
1985/1/1,6.16190057
1985/2/1,6.01581783
1985/3/1,6.38383581
1985/4/1,6.19138804
1985/5/1,5.93748656
1985/6/1,5.1560053
1985/7/1,5.33392835
1985/8/1,5.59011814
1985/9/1,5.4232741
1985/10/1,5.40769529
1985/11/1,5.2424908
1985/12/1,5.08076952
1986/1/1,4.54718526
1986/2/1,4.62388041
1986/3/1,4.20918205
1986/4/1,3.94830491
1986/5/1,4.04659032
1986/6/1,4.58448381
1986/7/1,3.99302785
1986/8/1,3.9205807
1986/9/1,3.55172642
1986/10/1,3.86705459
1986/11/1,3.74388639
1986/12/1,3.54373436
1987/1/1,3.60456573
1987/2/1,3.57858135
1987/3/1,3.55478545
1987/4/1,3.76019917
1987/5/1,4.3597144
1987/6/1,4.33241266
1987/7/1,4.27752862
1987/8/1,4.48023176
1987/9/1,4.60420021
1987/10/1,4.95924181
1987/11/1,4.52543171
1987/12/1,4.57927551
1988/1/1,4.60538556
1988/2/1,4.09836913
1988/3/1,4.04273806
1988/4/1,4.41655648
1988/5/1,4.49627175
1988/6/1,4.65088068
1988/7/1,4.43535275
1988/8/1,4.54274482
1988/9/1,4.70786025
1988/10/1,4.46199391
1988/11/1,4.35872218
1988/12/1,4.61793872
1989/1/1,4.86319371
1989/2/1,4.73187982
1989/3/1,4.97372227
1989/4/1,4.87105004
1989/5/1,4.62966249
1989/6/1,4.41116564
1989/7/1,4.00267623
1989/8/1,3.73935273
1989/9/1,4.27707143
1989/10/1,4.29718333
1989/11/1,4.03013495
1989/12/1,4.02966583
1990/1/1,4.1276234
1990/2/1,4.36692739
1990/3/1,4.55196762
1990/4/1,4.55216196
1990/5/1,4.80506176
1990/6/1,4.38261115
1990/7/1,4.3418185
1990/8/1,4.17053207
1990/9/1,4.3987447
1990/10/1,4.20053902
1990/11/1,4.05885498
1990/12/1,3.8939207
1991/1/1,3.92293115
1991/2/1,3.90705382
1991/3/1,4.17583618
1991/4/1,4.1098331
1991/5/1,4.04991631
1991/6/1,4.18764426
1991/7/1,4.22225375
1991/8/1,4.13991739
1991/9/1,3.87849555
1991/10/1,3.63786206
1991/11/1,3.56505772
1991/12/1,3.41033346
1992/1/1,3.19854245
1992/2/1,3.62829159
1992/3/1,3.66026498
1992/4/1,3.78985987
1992/5/1,3.74616997
1992/6/1,3.56857666
1992/7/1,3.35309944
1992/8/1,3.1248226
1992/9/1,2.95734236
1992/10/1,2.72804375
1992/11/1,3.32463334
1992/12/1,3.50968543
1993/1/1,3.26790846
1993/2/1,3.00478524
1993/3/1,2.67342493
1993/4/1,2.77451693
1993/5/1,2.66472062
1993/6/1,2.76123734
1993/7/1,2.59179878
1993/8/1,2.70290307
1993/9/1,2.45058069
1993/10/1,2.39884319
1993/11/1,2.56229533
1993/12/1,2.72011647
1994/1/1,2.77268493
1994/2/1,2.62016875
1994/3/1,2.97120305
1994/4/1,3.65918278
1994/5/1,3.62457709
1994/6/1,3.59356552
1994/7/1,3.7864194
1994/8/1,3.58028405
1994/9/1,3.6371045
1994/10/1,3.95662307
1994/11/1,4.10325275
1994/12/1,4.11695307
1995/1/1,4.24429022
1995/2/1,4.05499673
1995/3/1,3.72098557
1995/4/1,3.6549273
1995/5/1,3.4204808
1995/6/1,2.90471287
1995/7/1,2.93803016
1995/8/1,3.14848844
